"Bleaching.Score","PLUG.ID","Timepoint","Treatment","Species","Group","SpGroup"
"217",2.85205077068919,"1331","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"218",-5.00696010163931,"1462","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"219",4.51627868881411,"2565","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"220",-6.3007786257183,"2874","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"221",-5.9544593238792,"2741","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"222",-1.72020493126352,"1284","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"223",-1.10230109742842,"1603","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"224",8.1431058804546,"1449","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"225",-1.20293085520028,"1156","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"226",-7.20719974804049,"1047","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"227",-5.00962244831173,"1556","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"228",6.51655851548803,"1299","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"229",1.443979017919,"1577","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"230",-4.46041517649643,"2072","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"231",-8.13594009899039,"1230","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"232",-7.99342907613344,"1445","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"233",-7.52697252834553,"1632","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"234",-4.19681794405347,"3001","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"235",-4.82036697856489,"2854","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"236",-7.63345161905257,"1482","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"237",-5.85773960521046,"2554","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"238",-4.79088580740144,"1310","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"239",3.82782407012732,"2088","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"240",-0.975339494047851,"2194","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
